Metric,Value
TP,251.0
TN,81.0
FP,38.0
FN,40.0
Prevalence,0.7048780487804878
PPV,0.8685121107266436
NPV,0.6694214876033058
Sensitivity,0.8625429553264605
Specificity,0.680672268907563
FPR,0.31932773109243695
FNR,0.13745704467353953
